Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_7408,56,79,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,14,20,14,20,14,20,17,17,17
Map_7409,14,45,14,14,14,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_7410,301,165,19,19,23,19,19,19,19,19,19,19,19,19,19,19,21,20,20,18,20,18,21,20,21,20
Map_7411,7,120,7,7,7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7412,6,11,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_7413,13,97,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,12,14,12,12,12,12,12
Map_7414,315,83,26,26,26,50,26,28,26,28,26,28,26,37,26,37,23,23,23,23,23,23,26,23,26,30
Map_7415,8,24,9,9,9,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7416,50,43,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,17,23,17,23,17,19,17,17,17
Map_7417,36,108,21,21,21,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Map_7418,27,49,24,22,22,29,22,22,22,22,22,22,22,22,22,22,26,23,26,23,26,23,23,22,23,22
Map_7419,54,221,14,14,17,18,14,14,14,14,14,14,14,14,14,14,15,14,15,14,15,14,14,14,14,14
Map_7420,76,179,26,26,26,28,26,26,26,26,26,26,26,26,26,26,24,21,24,21,24,21,24,21,24,21
Map_7421,8,24,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7422,19,27,17,17,17,17,18,16,18,16,18,16,18,16,18,16,18,16,23,16,23,16,18,16,18,16
Map_7423,17,40,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,17,15,17,15,17,15,17,15
Map_7424,8,40,9,9,9,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
Map_7425,64,41,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,14,22,14,22,14,22,14,22,14
Map_7426,7,71,7,7,7,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7427,5,21,7,6,6,10,5,5,5,5,5,5,5,5,5,5,7,5,7,5,7,5,5,5,5,5
